DI	UT
10.1209/epl/i2000-00124-7	WOS:000084782000015
10.1001/archgenpsychiatry.2012.124	WOS:000307185000011
10.1001/archneur.65.5.659	WOS:000255785600016
10.1001/archneur.65.6.741	WOS:000256549100008
10.1002/1096-8644(200103)114:3<224::AID-AJPA1022>3.0.CO;2-I	WOS:000167249700004
10.1002/1097-0193(200012)11:4<273::AID-HBM40>3.0.CO;2-0	WOS:000165684500004
10.1002/1097-0193(200101)12:1<25::AID-HBM30>3.0.CO;2-H	WOS:000166179800003
10.1002/1097-4601(200103)33:3<198::AID-KIN1014>3.0.CO;2-Z	WOS:000166992700007
10.1002/1099-0712(200005/10)10:3/5<169::AID-AMO404>3.0.CO;2-W	WOS:000165667200010
10.1002/1438-5171(200103)2:1<35::AID-SIMO35>3.3.CO;2-C	WOS:000174074400006
10.1002/1521-3765(20011105)7:21<4562::AID-CHEM4562>3.0.CO;2-4	WOS:000172133300004
10.1002/1521-3773(20001201)39:23<4306::AID-ANIE4306>3.0.CO;2-G	WOS:000165747500028
10.1002/1521-3773(20010618)40:12<2292::AID-ANIE2292>3.0.CO;2-D	WOS:000169457300017
10.1002/1521-3773(20020215)41:4<634::AID-ANIE634>3.0.CO;2-U	WOS:000173984200023
10.1002/1521-3773(20021004)41:19<3625::AID-ANIE3625>3.0.CO;2-J	WOS:000178609900018
10.1002/1521-3773(20021104)41:21<4041::AID-ANIE4041>3.0.CO;2-3	WOS:000179252300014
10.1002/1521-3900(200102)164:1<81::AID-MASY81>3.0.CO;2-6	WOS:000168004800007
10.1002/1521-3919(200211)11:9<975::AID-MATS975>3.0.CO;2-Y	WOS:000180496100006
10.1002/1521-3935(20011101)202:17<3334::AID-MACP3334>3.0.CO;2-4	WOS:000172955500014
10.1002/1521-396X(200105)185:1<121::AID-PSSA121>3.0.CO;2-I	WOS:000169128500016
10.1002/1521-396X(200109)187:1<33::AID-PSSA33>3.0.CO;2-9	WOS:000171458000007
10.1002/1521-396X(200112)188:2<647::AID-PSSA647>3.3.CO;2-R	WOS:000172779700037
10.1002/1521-3986(200211)42:6/7<590::AID-CTPP590>3.0.CO;2-M	WOS:000179425200005
10.1002/1521-4052(200108)32:8<669::AID-MAWE669>3.0.CO;2-H	WOS:000173103800006
10.1002/1521-4052(200206)33:6<355::AID-MAWE355>3.0.CO;2-G	WOS:000176341500008
10.1002/1521-4052(200206)33:6<363::AID-MAWE363>3.0.CO;2-K	WOS:000176341500009
10.1002/1521-4052(200206)33:6<367::AID-MAWE367>3.0.CO;2-4	WOS:000176341500010
10.1002/1521-4095(200104)13:7<514::AID-ADMA514>3.0.CO;2-K	WOS:000168093400013
10.1002/1521-4109(200105)13:8/9<677::AID-ELAN677>3.0.CO;2-W	WOS:000169443900012
10.1002/1521-4109(200105)13:8/9<727::AID-ELAN727>3.0.CO;2-B	WOS:000169443900019
